,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent
0,Seahawks,Russell Wilson,97,31.8,Away,65,34.4,Home,82,36.8,Home,67,21.9,Away,86,25.5,Home,84,-,Bye,Bye,32.9,Away,73,28.7,Home,83,24.1,Away,77,11.9,Away,90,20.1,Home,73,14.4,Away,72,16,Home,79,23.1,Home,72,13,Away,93,19.9,Home,90,18.1,Away,83
1,Seahawks,Geno Smith,56,-,Away,65,-,Home,82,-,Home,67,-,Away,86,-,Home,84,BYE,Bye,Bye,-,Away,73,-,Home,83,-,Away,77,-,Away,90,-,Home,73,-,Away,72,-,Home,79,1.1,Home,72,-,Away,93,-,Home,90,-,Away,83
2,Ravens,Lamar Jackson,94,27.5,Home,86,17.6,Away,60,14.2,Home,80,26,Away,93,14.5,Home,63,28.2,Away,72,BYE,Bye,Bye,16.8,Home,86,18.6,Away,77,22.5,Away,82,17.5,Home,68,-,Away,86,26.7,Home,67,34.9,Away,86,30.2,Home,70,21.3,Home,79,25.2,Away,63
3,Ravens,Robert Griffin III,66,0.3,Home,86,-,Away,60,-,Home,80,-0.7,Away,93,-0.1,Home,63,-,Away,72,-,Bye,Bye,-,Home,86,-,Away,77,-,Away,82,-,Home,68,5.1,Away,86,-,Home,67,-,Away,86,-,Home,70,-,Home,79,-,Away,63
4,Ravens,Tyler Huntley,58,-,Home,86,-,Away,60,-,Home,80,-,Away,93,-,Home,63,-,Away,72,BYE,Bye,Bye,-,Home,86,-,Away,77,-,Away,82,-,Home,68,-,Away,86,-,Home,67,-,Away,86,2.1,Home,70,-,Home,79,0.8,Away,63
5,Ravens,Trace McSorley,54,-,Home,86,-,Away,60,-,Home,80,-,Away,93,-,Home,63,-,Away,72,-,Bye,Bye,-,Home,86,-,Away,77,-,Away,82,BYE,Home,68,8.7,Away,86,-,Home,67,0.6,Away,86,-,Home,70,-,Home,79,-,Away,63
6,Saints,Drew Brees,93,14.4,Home,90,15.5,Away,69,23.5,Home,79,16.5,Away,74,22.1,Home,76,-,Bye,Bye,23.7,Home,80,19.6,Away,82,22.7,Away,90,6.9,Home,83,-,Home,65,-,Away,87,-,Away,65,-,Away,72,20.4,Home,80,10.1,Home,84,20,Away,80
7,Saints,Jameis Winston,76,-,Home,90,-,Away,69,-,Home,79,-,Away,74,-,Home,76,BYE,Bye,Bye,-,Home,80,-,Away,82,0.2,Away,90,2.3,Home,83,-,Home,65,0,Away,87,-,Away,65,-,Away,72,-,Home,80,-,Home,84,-0.1,Away,80
8,Saints,Tommy Stevens,54,-,Home,90,-,Away,69,-,Home,79,-,Away,74,-,Home,76,-,Bye,Bye,-,Home,80,-,Away,82,-,Away,90,-,Home,83,-,Home,65,-,Away,87,-,Away,65,-,Away,72,-,Home,80,-,Home,84,2.4,Away,80
9,Buccaneers,Tom Brady,90,22.5,Away,83,9.7,Home,80,23.9,Away,87,33.5,Home,76,14.1,Away,82,14.6,Home,79,36.9,Away,69,19.1,Away,79,5.4,Home,83,31.8,Away,80,14.6,Home,90,23.7,Home,80,-,Bye,Bye,15.6,Home,84,23.4,Away,65,29.9,Away,74,31.3,Home,65
10,Buccaneers,Blaine Gabbert,62,-,Away,83,-,Home,80,-,Away,87,-,Home,76,-,Away,82,0.2,Home,79,-,Away,69,-,Away,79,-0.1,Home,83,0,Away,80,-,Home,90,-,Home,80,-,Bye,Bye,-,Home,84,-,Away,65,15.2,Away,74,-,Home,65
11,Packers,Aaron Rodgers,89,30.8,Away,84,18.2,Home,74,24.5,Away,83,29.6,Home,65,-,Bye,Bye,5.8,Away,90,27.3,Away,60,22.5,Home,84,28.9,Away,83,26.4,Home,70,22.7,Away,77,25.6,Home,82,23.5,Home,72,30.9,Away,74,18.3,Home,80,26.1,Home,68,26,Away,82
