,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
0,Buccaneers,Tom Brady,97,11.4,Away,97,9.4,Away,87,14.7,Home,84,25.4,Home,92,19.7,Home,81,13.7,Away,89,11.7,Away,84,17.1,Home,95,15.2,Home,72,17,Home,74,-,Bye,Bye,18,Away,99,18.1,Home,87,12.1,Away,98,18.6,Home,89,13.3,Away,67,37.7,Home,84,7.4,Away,81
1,Buccaneers,Kyle Trask,63,-,Away,97,-,Away,87,-,Home,84,-,Home,92,-,Home,81,-,Away,89,-,Away,84,-,Home,95,-,Home,72,-,Home,74,BYE,Bye,Bye,-,Away,99,-,Home,87,-,Away,98,-,Home,89,-,Away,67,-,Home,84,0.9,Away,81
2,Buccaneers,Blaine Gabbert,60,-,Away,97,-,Away,87,-,Home,84,-,Home,92,-,Home,81,-,Away,89,-,Away,84,BYE,Home,95,-,Home,72,-,Home,74,-,Bye,Bye,-,Away,99,-,Home,87,-,Away,98,-,Home,89,-,Away,67,-,Home,84,5.2,Away,81
3,Packers,Aaron Rodgers,96,4.7,Away,79,16.4,Home,60,17.1,Away,84,17.1,Home,90,16.9,Home,73,11.8,Home,95,15.8,Away,79,16.2,Away,91,16.6,Away,81,19.4,Home,97,19.1,Home,80,11.5,Away,95,13.7,Away,60,-,Bye,Bye,11.9,Home,72,14.3,Away,88,16.6,Home,79,12.2,Home,81
4,Packers,Jordan Love,66,2.6,Away,79,-,Home,60,-,Away,84,-,Home,90,-,Home,73,0.3,Home,95,-,Away,79,-,Away,91,-,Away,81,-,Home,97,-,Home,80,8.5,Away,95,-,Away,60,BYE,Bye,Bye,-,Home,72,-,Away,88,0.3,Home,79,-,Home,81
5,Bills,Josh Allen,92,33.5,Away,72,29.7,Home,80,26.7,Away,88,24.5,Away,95,36.2,Home,89,26.4,Away,92,BYE,Bye,Bye,19.6,Home,84,26.8,Away,95,21.6,Home,79,12.6,Home,99,30.9,Away,81,16.9,Away,90,20.6,Home,95,35.9,Home,88,25,Away,60,2.7,Away,89,22.8,Home,90
6,Bills,Case Keenum,65,-,Away,72,0.2,Home,80,-,Away,88,-,Away,95,0.1,Home,89,BYE,Away,92,-,Bye,Bye,-,Home,84,-,Away,95,-,Home,79,-,Home,99,-,Away,81,-,Away,90,-,Home,95,-,Home,88,-,Away,60,-,Away,89,-,Home,90
7,Bills,Matt Barkley,58,-,Away,72,-,Home,80,-,Away,88,-,Away,95,-,Home,89,-,Away,92,-,Bye,Bye,-,Home,84,BYE,Away,95,-,Home,79,-,Home,99,0,Away,81,-,Away,90,-,Home,95,-,Home,88,-,Away,60,-,Away,89,-,Home,90
8,Bengals,Joe Burrow,90,22.2,Home,89,16.6,Away,97,23,Away,95,20.1,Home,88,18.3,Away,95,32.5,Away,87,39.2,Home,81,14.5,Away,99,19.1,Home,84,BYE,Bye,Bye,28.7,Away,89,18,Away,80,30,Home,92,17.6,Home,99,25.8,Away,84,25.5,Away,90,6.3,Home,91,11.6,Home,95
9,Bengals,Brandon Allen,54,-,Home,89,-,Away,97,-,Away,95,-,Home,88,-,Away,95,-,Away,87,-,Home,81,-,Away,99,0.8,Home,84,-,Bye,Bye,-,Away,89,-,Away,80,-,Home,92,-,Home,99,-,Away,84,-,Away,90,-,Home,91,-,Home,95
