,Team,Name,Rating,Experience,Salary,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
0,49ers,Brock Purdy,73,1,3650000,16.8,Away,89,14.7,Away,72,20.3,Home,73,21.3,Home,67,26.1,Home,97,8.7,Away,99,14.8,Away,79,20.3,Home,89,BYE,Bye,Bye,,Away,87,,Home,84,,Away,74,,Away,95,,Home,74,,Away,67,,Home,95,,Away,82,,Home,72
1,Bears,Justin Fields,76,2,7790000,15.5,Home,84,16.7,Away,84,11.7,Away,92,28.9,Home,69,33,Away,82,5.9,Home,79,-,Home,72,-,Away,74,-,Away,87,,Home,84,,Away,81,,Away,79,,Bye,Bye,,Home,81,,Away,99,,Home,67,,Home,81,,Away,84
2,Bears,Tyson Bagent,52,0,2670000,-,Home,84,-,Away,84,-,Away,92,-,Home,69,-,Away,82,6.7,Home,79,12.9,Home,72,13.2,Away,74,18.8,Away,87,,Home,84,,Away,81,,Away,79,,Bye,Bye,,Home,81,,Away,99,,Home,67,,Home,81,,Away,84
3,Bengals,Joe Burrow,95,3,2500000,3.2,Away,99,16.4,Home,95,9.2,Home,72,4.7,Away,80,24.4,Away,67,14.8,Home,74,BYE,Bye,Bye,27.6,Away,98,22.3,Home,91,,Home,76,,Away,95,,Home,89,,Away,87,,Home,77,,Home,79,,Away,89,,Away,92,,Home,99
4,Bills,Josh Allen,94,5,182050000,12,Away,95,23.7,Home,72,22.3,Away,82,36.5,Home,88,28.8,Home,87,14.9,Home,73,25.3,Away,90,30.1,Home,84,25.7,Away,89,,Home,69,,Home,95,,Away,95,,Bye,Bye,,Away,92,,Home,97,,Away,74,,Home,90,,Away,88
5,Broncos,Russell Wilson,77,11,199000000,15.2,Home,72,26.9,Home,82,15.2,Away,88,22.2,Away,60,18.7,Home,95,8.9,Away,92,13.9,Home,84,17.6,Home,92,BYE,Bye,Bye,,Away,91,,Home,79,,Home,99,,Away,76,,Away,74,,Away,81,,Home,90,,Home,74,,Away,72
6,Browns,Deshaun Watson,78,6,140120000,21.7,Home,89,12.6,Away,89,21.2,Home,80,-,Home,95,BYE,Bye,Bye,-,Home,98,-0.8,Away,77,-,Away,74,19,Home,67,,Away,95,,Home,89,,Away,69,,Away,72,,Home,87,,Home,60,,Away,76,,Home,95,,Away,89
7,Buccaneers,Baker Mayfield,72,5,500000,16,Away,79,18.4,Home,60,11,Home,95,23.9,Away,87,BYE,Bye,Bye,7.8,Home,81,17.2,Home,81,21.4,Away,91,19,Away,76,,Home,80,,Away,98,,Away,77,,Home,84,,Away,81,,Away,84,,Home,87,,Home,87,,Away,84
8,Chargers,Justin Herbert,87,3,2500000,20.9,Home,88,22.2,Away,80,29.3,Away,79,24.4,Home,72,BYE,Bye,Bye,19.1,Home,97,12.9,Away,92,24,Home,60,7.1,Away,95,,Home,81,,Away,84,,Home,95,,Away,90,,Home,69,,Away,72,,Home,91,,Away,69,,Home,92
9,Chiefs,Patrick Mahomes II,99,6,190400000,20.5,Home,81,22.2,Away,87,25.7,Home,60,15.2,Away,95,19.2,Away,79,18.3,Home,69,34.9,Home,74,7.6,Away,69,15.8,Home,88,,Bye,Bye,,Home,95,,Away,72,,Away,84,,Home,91,,Away,90,,Home,72,,Home,89,,Away,74
10,Colts,Anthony Richardson,70,0,3660000,21.9,Home,87,17.7,Away,76,-,Away,95,29.6,Home,72,4.4,Home,80,-,Away,87,-,Home,99,-,Home,87,-,Away,84,,Away,90,,Bye,Bye,,Home,84,,Away,80,,Away,89,,Home,89,,Away,81,,Home,72,,Home,76
11,Colts,Gardner Minshew II,67,4,500000,0,Home,87,11.1,Away,76,13.1,Away,95,-,Home,72,6.3,Home,80,12.6,Away,87,28.1,Home,99,15.8,Home,87,9.6,Away,84,,Away,90,,Bye,Bye,,Home,84,,Away,80,,Away,89,,Home,89,,Away,81,,Home,72,,Home,76
12,Commanders,Sam Howell,66,1,3670000,16.2,Home,67,21.3,Away,69,4.6,Home,91,19.6,Away,95,26.4,Home,60,18.3,Away,81,10.5,Away,73,32,Home,95,18.7,Away,90,,Away,74,,Home,73,,Away,97,,Home,88,,Bye,Bye,,Away,72,,Away,95,,Home,98,,Home,97
13,Cowboys,Dak Prescott,87,7,37300000,6.3,Away,73,19.6,Home,95,15.4,Away,67,14.3,Home,90,7.3,Away,98,24.9,Away,74,BYE,Bye,Bye,29.1,Home,72,28.4,Away,95,,Home,73,,Away,84,,Home,82,,Home,74,,Home,95,,Away,91,,Away,88,,Home,81,,Away,82
14,Dolphins,Tua Tagovailoa,83,3,25170000,28.1,Away,74,13.3,Away,90,28.4,Home,69,15,Away,91,18.9,Home,73,22.5,Home,84,11.3,Away,95,22.8,Home,90,12.4,Away,92,,Bye,Bye,,Home,72,,Away,95,,Away,82,,Home,80,,Home,95,,Home,97,,Away,95,,Home,91
15,Eagles,Jalen Hurts,88,3,25550000,12.5,Away,90,26.2,Home,79,21.9,Away,84,24.2,Home,82,28.3,Away,72,22.9,Away,95,24.3,Home,88,27.4,Away,82,25.9,Home,97,,Bye,Bye,,Away,92,,Home,91,,Home,98,,Away,97,,Away,74,,Home,73,,Home,67,,Away,73
16,Falcons,Desmond Ridder,70,1,4290000,7.9,Home,84,22.4,Home,84,6.3,Away,81,8.2,Away,87,26.2,Home,76,19.1,Home,82,13.8,Away,84,3.4,Away,80,-,Home,79,,Away,67,,Bye,Bye,,Home,87,,Away,95,,Home,84,,Away,84,,Home,77,,Away,60,,Away,87
17,Falcons,Taylor Heinicke,68,8,8320000,-,Home,84,-,Home,84,-,Away,81,-,Away,87,-,Home,76,-,Home,82,-,Away,84,12.4,Away,80,15.7,Home,79,,Away,67,,Bye,Bye,,Home,87,,Away,95,,Home,84,,Away,84,,Home,77,,Away,60,,Away,87
