DEFENSE,DEF RATING,GM,FPPG,FPPG RANK,QB,QB RANK,RB,RB RANK,WR,WR RANK,TE,TE RANK,K,K RANK,DEF,DEF RANK
"Los Angeles Rams",90,16,69.1,1,14.5,1,17.3,5,21.8,1,9.4,10,6.1,7,6.5,20
"Pittsburgh Steelers",86,16,73.1,2,15.3,2,17.1,4,27.9,10,7.1,2,5.8,4,3.2,5
"Washington Commanders",93,16,73.8,3,16.7,3,16.2,2,25.4,2,9,8,6.6,12,8.2,26
"Baltimore Ravens",88,16,76.5,4,17.5,8,18.7,12,26.1,5,9.7,14,4.6,1,4.1,9
"New Orleans Saints",83,16,78.6,5,16.8,5,15.5,1,29.7,18,10.4,19,6.2,9,2.8,3
"San Francisco 49ers",83,16,78.8,6,17.6,9,17.4,6,28.9,16,6.4,1,8.5,26,8.4,27
"Indianapolis Colts",77,16,79.2,7,17.9,10,17.7,8,29.2,17,8.3,4,6.1,7,4,8
"New England Patriots",82,16,80.2,8,17.4,7,20,15,28.1,12,8.4,5,6.4,11,7,22
"Green Bay Packers",79,16,81.4,9,16.7,4,23.9,28,25.8,4,8.3,3,6.7,14,2,1
"Miami Dolphins",86,16,82.8,10,18.3,12,18.6,11,31.7,23,8.6,7,5.6,3,6.1,18
"Arizona Cardinals",73,16,82.9,11,19.3,19,19.5,14,28.7,14,8.5,6,6.9,16,5.5,13
"New York Giants",79,16,83.3,12,16.9,6,21.7,23,27.3,9,9.6,11,7.8,24,8.6,28
"Chicago Bears",82,16,83.6,13,17.9,11,18.2,10,26.8,8,12.9,31,7.8,20,6.1,18
"Buffalo Bills",77,16,84,14,19.3,17,20.5,18,26.3,6,12,27,6,5,3.2,4
"Kansas City Chiefs",80,16,84.1,15,20.3,23,21.2,21,25.5,3,11.8,25,5.2,2,3.2,5
"Tampa Bay Buccaneers",90,16,84.2,16,19.1,16,16.2,3,31.3,22,11.3,23,6.3,10,3.6,7
"Los Angeles Chargers",76,16,85.2,17,20.3,22,20,16,26.3,7,10.8,21,7.8,20,5.7,14
"Carolina Panthers",80,16,88.1,18,19,15,22,25,27.9,11,11.4,24,7.8,20,5.8,15
"Cleveland Browns",86,16,88.8,19,20.4,25,17.6,7,31.9,24,12.2,29,6.7,14,4.6,12
"Cincinnati Bengals",63,16,89,20,19,14,21.2,22,28.1,13,11.9,26,8.9,29,8.6,28
"Denver Broncos",87,16,90,21,20.3,21,21.1,20,28.7,15,10.1,18,9.9,32,8.8,30
"Philadelphia Eagles",72,16,90.7,22,19.3,18,19,13,33.4,25,11.1,22,7.9,25,8.9,31
"Seattle Seahawks",70,16,92,23,20.6,26,20.3,17,34.3,28,9.7,13,7.1,17,4.6,10
"Dallas Cowboys",67,16,93.5,24,19.6,20,21.9,24,35.2,29,9.3,9,7.3,19,7.6,25
"Minnesota Vikings",84,16,95.4,25,18.7,13,23.8,27,34.1,27,9.6,12,9.2,31,6.7,21
"Las Vegas Raiders",69,16,95.4,26,20.7,27,26.1,29,30.2,19,9.7,15,8.8,28,5.9,16
"Tennessee Titans",68,16,97.3,27,22.1,28,22,26,36.1,30,10.5,20,6.6,12,2.1,2
"New York Jets",72,16,98.1,28,22.6,30,21.1,19,30.9,20,15,32,8.6,27,9.1,32
"Atlanta Falcons",65,16,99.4,29,24,32,17.9,9,37.7,32,12.6,30,7.2,18,4.6,10
"Jacksonville Jaguars",70,16,101.4,30,22.4,29,26.8,30,31.2,21,12,28,9,30,7.4,24
"Houston Texans",60,16,101.5,31,20.4,24,29.6,31,34.1,26,9.8,16,7.8,20,5.9,17
"Detroit Lions",74,16,106,32,23.9,31,29.6,32,36.5,31,9.9,17,6.1,6,7,22
