,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,Year
0,1,Josh Allen,QB,BUF,17.2,17.7,37.2,21,36.5,29.7,BYE,29.5,11.6,21.9,18.2,28.7,11.7,36.2,21.8,31,23.9,23.9,24.6,417.6,2021
1,2,Justin Herbert,QB,LAC,14.4,16.7,30.8,21.3,42.8,12,BYE,15.8,31.6,13,35.3,21.7,26.3,24.9,24,18.9,17.7,28.4,23.3,395.8,2021
2,3,Tom Brady,QB,FA,29.2,29.6,28.7,11.1,37.7,19,24.4,27.2,-,15,20.3,12.2,29.6,30.1,5.8,14.4,27.4,25,22.7,386.7,2021
3,4,Patrick Mahomes II,QB,KC,33.3,25,24.9,32.3,21,25,8.7,15,10.4,36.2,8.5,BYE,13.6,20.3,30.6,22.3,20.9,26.2,22.0,374.2,2021
4,5,Matthew Stafford,QB,LAR,24.3,18.2,29.5,20.3,17.5,26.2,27.2,24.2,15.1,11.8,BYE,23,24,23.5,16.5,9.7,16.3,19.5,20.4,346.7,2021
5,6,Aaron Rodgers,QB,NYJ,3.3,26.8,18,24.1,20.8,23.7,24.7,15.7,-,11.5,33.5,26.3,-,29.6,23.8,20,20.3,14.2,21.0,336.3,2021
6,7,Dak Prescott,QB,DAL,28.4,8.5,20.1,27,21.7,27.8,BYE,-,19.9,26.3,4.6,25.3,12.2,11.9,10.6,31.3,23,31.8,20.7,330.6,2021
7,8,Joe Burrow,QB,CIN,18.6,13.3,18.6,22.3,20.3,23.8,27.6,21.3,9.4,BYE,9,17.4,18.6,22.2,12.8,38.1,34.8,-,20.5,328.2,2021
8,9,Jalen Hurts,QB,PHI,28.8,21.8,22.5,28.2,23.9,26,23.5,11.2,16.7,19.6,30.8,9.9,-,BYE,28.6,16.7,13,-,21.4,321.2,2021
9,10,Kyler Murray,QB,ARI,34.6,35.1,19.5,22.6,13.7,25.8,22.4,11.1,-,-,-,BYE,30.8,19.4,13.6,21.9,22.9,17.1,22.2,310.5,2021
10,11,Kirk Cousins,QB,MIN,22,25.3,25.1,11.1,14.4,28.5,BYE,13.2,21.6,17.5,25.2,16.5,20.2,16,11.5,17.3,-,21.9,19.2,307.3,2021
11,12,Ryan Tannehill,QB,TEN,15.2,14.6,23.5,18.8,14,13.9,20.4,23.2,15,18.6,13.2,9.1,BYE,16.5,10.9,14.6,13.5,27.3,16.6,282.4,2021
12,13,Derek Carr,QB,NO,25,24.2,22.2,15.4,8.2,21.5,20,-,12.3,19.2,9.6,21,12.4,11.5,11.1,9.5,12.2,15.3,15.9,271.0,2021
13,14,Carson Wentz,QB,LAR,18.3,18.6,7.8,17.9,22.6,17,20.3,20.3,24.2,7.1,10,22.3,11.1,-,7,17.4,10.9,12.1,15.6,265.0,2021
14,15,Lamar Jackson,QB,BAL,18,34.3,20.3,19.4,41.9,13.8,23.1,BYE,32.6,16.4,-,13.4,18.6,1.2,-,-,-,-,21.1,253.0,2021
15,16,Russell Wilson,QB,DEN,27.1,23.3,16.6,22.6,10.1,-,-,-,-,7.6,8.5,19.5,17.7,21.2,5.2,16.5,27.8,25,17.8,248.8,2021
16,17,Jimmy Garoppolo,QB,LV,14.8,19.6,15.7,9.6,-,-,7.2,27.3,20.3,15.4,15.6,12.2,18,20.1,13.8,15.2,-,14.7,16.0,239.5,2021
17,18,Mac Jones,QB,NE,15.2,7.4,14.6,17.9,12.5,15.8,22.2,11.7,7,19.9,11.4,21.5,0.5,BYE,19.2,7.1,22.3,11.8,14.0,237.9,2021
18,19,Taylor Heinicke,QB,ATL,10.6,21,22.4,27.9,11.9,10.3,21.2,13.8,-,15.7,23.1,12.2,15.8,8.7,-,6.7,10.3,5.1,14.8,236.9,2021
