Team,Name,Rating,Experience,Salary
49ers,Brian Hoyer,75,7,7475000
Bears,Mitchell Trubisky,77,0,29178000
Bears,Mike Glennon,74,4,32500000
Bengals,Andy Dalton,84,6,98000000
Bills,Tyrod Taylor,82,6,23500000
Broncos,Trevor Siemian,76,2,1800000
Browns,DeShone Kizer,75,0,4961000
Browns,Brock Osweiler,75,5,71000000
Buccaneers,Jameis Winston,81,2,23000000
Cardinals,Carson Palmer,83,14,22500000
Chargers,Philip Rivers,84,13,83250000
Chiefs,Alex Smith,81,12,39000000
Colts,Andrew Luck,90,5,130000000
Cowboys,Dak Prescott,86,1,2670000
Dolphins,Ryan Tannehill,83,5,98000000
Eagles,Carson Wentz,79,1,26500000
Eagles,Nick Foles,71,5,8000000
Falcons,Matt Ryan,96,9,63000000
Giants,Eli Manning,80,13,71000000
Jaguars,Blake Bortles,77,3,22289000
Jets,Josh McCown,73,15,6000000
Lions,Matthew Stafford,87,8,44000000
Packers,Aaron Rodgers,98,12,91000000
Panthers,Cam Newton,88,6,105800000
Patriots,Tom Brady,99,17,42500000
Raiders,Derek Carr,89,3,98500000
Rams,Jared Goff,73,1,28700000
Ravens,Joe Flacco,81,9,84000000
Redskins,Kirk Cousins,85,5,23940000
Saints,Drew Brees,92,16,13000000
Seahawks,Russell Wilson,90,5,87600000
Steelers,Ben Roethlisberger,91,13,85750000
Texans,Deshaun Watson,76,0,13916000
Titans,Marcus Mariota,80,2,24000000
Vikings,Case Keenum,73,5,950000
