Team,Name,Rating,Experience, Salary 
49ers,Jimmy Garoppolo,83,4,95500000
Bears,Mitchell Trubisky,74,1,29178000
Bengals,Andy Dalton,77,7,98000000
Bills,Josh Allen,74,0,21183516
Broncos,Case Keenum,81,6,30000000
Browns,Baker Mayfield,81,0,32683750
Buccaneers,Jameis Winston,80,3,21627000
Chargers,Philip Rivers,87,14,80250000
Chiefs,Patrick Mahomes II,77,1,16502000
Colts,Andrew Luck,87,6,130000000
Cowboys,Dak Prescott,82,2,2670000
Dolphins,Ryan Tannehill,78,6,39012000
Eagles,Carson Wentz,86,2,26500000
Falcons,Matt Ryan,89,10,125150000
Giants,Eli Manning,76,14,71000000
Jaguars,Blake Bortles,80,4,39000000
Jets,Sam Darnold,75,0,30248423
Lions,Matthew Stafford,85,9,101000000
Packers,Aaron Rodgers,99,13,91000000
Panthers,Cam Newton,88,7,105800000
Patriots,Tom Brady,99,18,42500000
Raiders,Derek Carr,83,4,98500000
Rams,Jared Goff,83,2,28700000
Ravens,Joe Flacco,79,10,84000000
Ravens,Lamar Jackson,79,0,9471823
Redskins,Alex Smith,84,13,84000000
Saints,Drew Brees,91,17,36500000
Seahawks,Russell Wilson,92,6,81340000
Steelers,Ben Roethlisberger,88,14,85750000
Texans,Deshaun Watson,82,1,13916000
Titans,Marcus Mariota,79,3,21627000
Vikings,Kirk Cousins,82,6,79500000
