Team,Name,Rating
Buccaneers,Tom Brady,97
Packers,Aaron Rodgers,96
Chiefs,Patrick Mahomes,95
Bills,Josh Allen,92
Bengals,Joe Burrow,90
Cowboys,Dak Prescott,89
Chargers,Justin Herbert,88
Ravens,Lamar Jackson,87
Broncos,Russell Wilson,87
Rams,Matthew Stafford,85
Browns,Deshaun Watson,84
Cardinals,Kyler Murray,84
Raiders,Derek Carr,83
Titans,Ryan Tannehill,83
Colts,Matt Ryan,81
Vikings,Kirk Cousins,80
Patriots,Mac Jones,78
Browns,Baker Mayfield,77
49ers,Jimmy Garoppolo,77
Saints,Jameis Winston,76
Jaguars,Trevor Lawrence,76
Dolphins,Teddy Bridgewater,75
Dolphins,Tua Tagovailoa,75
Eagles,Jalen Hurts,74
Bears,Justin Fields,74
Commanders,Carson Wentz,73
Jets,Zach Wilson,73
Lions,Jared Goff,72
49ers,Trey Lance,72
Texans,Davis Mills,71
Falcons,Marcus Mariota,71
Panthers,Sam Darnold,71
Saints,Andy Dalton,70
Giants,Daniel Jones,70
Falcons,Desmond Ridder,70
Browns,Jacoby Brissett,70
Titans,Malik Willis,69
Steelers,Mitchell Trubisky,69
Commanders,Taylor Heinicke,69
Giants,Tyrod Taylor,69
Steelers,Kenny Pickett,68
Panthers,Matt Corral,68
Colts,Nick Foles,68
Ravens,Tyler Huntley,68
Eagles,Gardner Minshew II,67
Commanders,Sam Howell,67
Seahawks,Drew Lock,66
Jets,Joe Flacco,66
Packers,Jordan Love,66
Bills,Case Keenum,65
Vikings,Kellen Mond,64
Raiders,Nick Mullens,64
Patriots,Bailey Zappe,63
Texans,Kyle Allen,63
Buccaneers,Kyle Trask,63
Cardinals,Colt McCoy,62
Seahawks,Jacob Eason,62
Steelers,Mason Rudolph,62
Panthers,P.J. Walker,62
Ravens,Brett Hundley,61
Patriots,Brian Hoyer,61
Chiefs,Chad Henne,61
Chargers,Chase Daniel,61
Bears,Trevor Siemian,61
Buccaneers,Blaine Gabbert,60
Chargers,Easton Stick,60
Seahawks,Geno Smith,60
Texans,Jeff Driskel,60
Browns,Joshua Dobbs,60
49ers,Brock Purdy,59
Steelers,Chris Oladokun,59
Falcons,Feleipe Franks,59
Saints,Ian Book,59
Jaguars,Jake Luton,59
Broncos,Brett Rypien,58
Cowboys,Cooper Rush,58
Rams,John Wolford,58
Bills,Matt Barkley,58
Colts,Sam Ehlinger,58
Jaguars,C.J. Beathard,57
Raiders,Jarrett Stidham,57
Dolphins,Skylar Thompson,57
Lions,Tim Boyle,57
Lions,David Blough,56
Jaguars,E.J. Perry,56
Colts,Jack Coan,56
Broncos,Josh Johnson,56
Jets,Mike White,56
49ers,Nate Sudfeld,55
Cardinals,Trace McSorley,55
Cowboys,Will Grier,55
Bengals,Brandon Allen,54
Rams,Bryce Perkins,54
Buccaneers,Ryan Griffin,54
Cowboys,Ben DiNucci,53
Bengals,Jake Browning,53
Giants,Davis Webb,52
Vikings,Sean Mannion,52
Chiefs,Shane Buechele,52
Titans,Logan Woodside,51
Eagles,Reid Sinnett,50
Bears,Nathan Peterman,49
Packers,Danny Etling,48
