,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent
0,49ers,Away,86,Away,70,Home,93,Bye,Bye,Home,74,Away,82,Away,74,Home,72,Away,73,Home,78,Home,73,Home,79,Away,89,Away,81,Home,76,Home,82,Away,78
1,Bears,Home,79,Away,80,Away,74,Home,85,Away,70,Bye,Bye,Home,81,Home,75,Away,80,Home,72,Away,82,Home,71,Away,72,Home,76,Away,79,Home,83,Away,85
2,Bengals,Away,78,Home,92,Away,86,Away,93,Home,73,Away,89,Home,72,Away,82,Bye,Bye,Home,89,Away,70,Home,93,Home,80,Away,74,Home,95,Away,70,Home,74
3,Bills,Away,80,Away,71,Home,70,Home,95,Away,79,Bye,Bye,Home,70,Home,80,Home,74,Away,74,Away,70,Home,80,Away,76,Home,89,Away,93,Away,95,Home,80
4,Broncos,Away,70,Home,85,Away,79,Home,72,Away,75,Home,79,Home,83,Away,78,Home,74,Bye,Bye,Away,85,Away,86,Home,75,Away,71,Away,83,Home,72,Home,70
5,Browns,Home,79,Away,80,Home,82,Away,89,Away,92,Home,78,Bye,Bye,Away,95,Away,80,Home,86,Home,93,Home,70,Away,93,Home,70,Away,73,Home,89,Away,70
6,Buccaneers,Home,92,Away,72,Home,71,Away,82,Away,81,Home,72,Bye,Bye,Away,79,Away,78,Home,73,Home,81,Away,76,Away,72,Home,78,Away,72,Home,71,Home,76
7,Cardinals,Home,72,Away,89,Home,72,Home,78,Away,70,Home,76,Away,71,Away,81,Home,92,Away,86,Away,92,Bye,Bye,Home,82,Home,93,Home,74,Away,78,Away,82
8,Chargers,Home,78,Away,72,Home,71,Away,70,Home,80,Home,93,Away,79,Away,85,Home,79,Away,70,Home,83,Bye,Bye,Away,80,Away,72,Home,85,Home,70,Away,83
9,Chiefs,Away,72,Away,70,Home,89,Away,72,Home,78,Home,71,Away,80,Home,79,Home,85,Away,79,Away,75,Bye,Bye,Home,70,Away,95,Home,80,Away,85,Home,75
10,Colts,Away,75,Away,79,Home,76,Home,70,Away,83,Bye,Bye,Home,71,Home,80,Away,93,Home,70,Home,72,Away,71,Home,79,Away,86,Away,81,Home,72,Away,72
11,Cowboys,Home,71,Away,74,Home,70,Away,81,Home,79,Away,80,Home,80,Bye,Bye,Away,71,Home,85,Away,72,Away,95,Home,86,Away,85,Home,82,Away,80,Home,74
12,Dolphins,Home,89,Home,95,Away,76,Home,75,Bye,Bye,Home,74,Away,86,Away,93,Home,80,Away,78,Home,86,Away,74,Home,80,Away,80,Away,71,Home,70,Away,95
13,Eagles,Home,74,Away,76,Home,72,Away,79,Home,80,Away,85,Away,76,Away,86,Home,85,Bye,Bye,Home,95,Home,78,Away,70,Home,71,Away,74,Home,76,Away,71
14,Falcons,Away,85,Home,80,Away,78,Home,79,Away,71,Away,73,Home,82,Home,78,Bye,Bye,Away,81,Away,72,Home,86,Home,81,Home,72,Away,92,Home,72,Away,86
15,Giants,Away,76,Home,86,Away,86,Home,74,Home,85,Away,95,Home,73,Away,72,Home,76,Away,80,Bye,Bye,Away,85,Home,79,Away,80,Home,70,Away,74,Home,80
16,Jaguars,Home,83,Away,71,Home,79,Away,80,Away,72,Home,81,Away,70,Home,80,Home,71,Bye,Bye,Away,78,Away,79,Home,86,Home,75,Away,70,Away,76,Home,78
