,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent,Week_18_Home_Away,Week_18_Opponent
0,49ers,Away,74,Away,72,Home,79,Home,70,Away,73,Bye,Bye,Home,77,Away,82,Home,73,Home,90,Away,70,Home,84,Away,70,Away,63,Home,65,Away,68,Home,60,Away,90
1,Bears,Away,90,Home,63,Away,86,Home,74,Away,69,Home,79,Away,90,Home,83,Away,86,Bye,Bye,Home,88,Away,74,Home,73,Away,79,Home,84,Away,70,Home,79,Away,84
2,Bengals,Home,84,Away,82,Away,86,Home,70,Home,79,Away,74,Away,88,Away,72,Home,86,Bye,Bye,Away,69,Home,86,Home,76,Home,83,Away,87,Home,88,Home,80,Away,86
3,Bills,Home,86,Away,86,Home,93,Home,60,Away,80,Away,68,Bye,Bye,Home,86,Away,70,Away,72,Home,77,Away,83,Home,82,Away,90,Home,80,Away,82,Home,65,Home,72
4,Broncos,Away,79,Away,70,Home,72,Home,88,Away,86,Home,69,Away,86,Home,93,Away,67,Home,72,Bye,Bye,Home,76,Away,80,Home,74,Home,63,Away,69,Away,76,Home,80
5,Browns,Away,80,Home,60,Home,82,Away,84,Away,76,Home,73,Home,87,Home,86,Away,63,Away,82,Home,74,Away,88,Bye,Bye,Home,88,Home,69,Away,79,Away,86,Home,63
6,Buccaneers,Home,67,Home,65,Away,90,Away,82,Home,86,Away,72,Home,82,Away,83,Bye,Bye,Away,93,Home,79,Away,77,Away,65,Home,77,Home,83,Away,80,Away,72,Home,80
7,Cardinals,Away,68,Home,84,Away,70,Away,90,Home,83,Away,86,Home,60,Home,79,Away,83,Home,80,Away,70,Bye,Bye,Away,82,Home,90,Away,74,Home,77,Away,67,Home,70
8,Chargers,Away,93,Home,67,Away,80,Home,69,Home,86,Away,88,Bye,Bye,Home,82,Away,72,Home,84,Home,86,Away,87,Away,63,Home,79,Home,80,Away,60,Home,87,Away,69
9,Chiefs,Home,86,Away,88,Home,76,Away,72,Home,77,Away,93,Away,68,Home,79,Home,79,Away,69,Home,67,Bye,Bye,Home,87,Home,69,Away,76,Home,86,Away,63,Away,87
10,Colts,Home,70,Home,90,Away,68,Away,86,Away,88,Home,60,Away,83,Home,68,Home,72,Home,70,Away,77,Home,90,Away,60,Bye,Bye,Home,82,Away,73,Home,69,Away,70
11,Cowboys,Away,90,Away,76,Home,72,Home,80,Home,79,Away,82,Bye,Bye,Away,84,Home,87,Home,65,Away,80,Home,69,Away,83,Away,93,Away,79,Home,93,Home,73,Away,72
12,Dolphins,Away,82,Home,77,Away,69,Home,77,Away,90,Away,70,Home,65,Away,77,Home,60,Home,88,Away,72,Home,80,Home,79,Bye,Bye,Home,72,Away,83,Away,68,Home,82
13,Eagles,Away,65,Home,83,Away,67,Home,80,Away,80,Home,90,Away,69,Away,74,Home,76,Away,87,Home,83,Away,79,Away,72,Bye,Bye,Home,93,Home,79,Away,93,Home,67
14,Falcons,Home,72,Away,90,Away,79,Home,93,Home,72,Bye,Bye,Away,86,Home,80,Away,83,Away,67,Home,82,Away,70,Home,90,Away,80,Away,83,Home,74,Away,77,Home,83
15,Football Team,Home,76,Home,79,Away,77,Away,65,Home,83,Home,80,Away,79,Away,87,Bye,Bye,Home,90,Away,80,Home,70,Away,69,Home,67,Away,72,Away,67,Home,72,Away,79
16,Giants,Home,87,Away,93,Home,65,Away,83,Away,67,Home,90,Home,80,Away,80,Home,69,Bye,Bye,Away,90,Home,72,Away,86,Away,76,Home,67,Away,72,Away,82,Home,93
17,Jaguars,Away,60,Home,87,Home,73,Away,63,Home,68,Home,86,Bye,Bye,Away,70,Home,77,Away,77,Home,83,Home,65,Away,90,Away,68,Home,60,Away,72,Away,82,Home,77
18,Jets,Away,80,Home,82,Away,87,Home,68,Away,65,Bye,Bye,Away,82,Home,63,Away,77,Home,77,Home,86,Away,60,Home,72,Home,83,Away,86,Home,70,Home,90,Away,77
19,Lions,Home,83,Away,79,Home,88,Away,82,Away,84,Home,63,Away,90,Home,72,Bye,Bye,Away,86,Away,86,Home,82,Home,84,Away,87,Home,73,Away,65,Away,70,Home,79
20,Packers,Away,83,Home,74,Away,83,Home,86,Away,63,Away,82,Home,93,Away,73,Away,80,Home,70,Away,84,Home,90,Bye,Bye,Home,82,Away,88,Home,86,Home,84,Away,74
21,Panthers,Home,72,Home,83,Away,60,Away,67,Home,72,Home,84,Away,79,Away,65,Home,82,Away,73,Home,93,Away,86,Bye,Bye,Home,65,Away,77,Home,90,Away,83,Away,90
22,Patriots,Home,86,Away,72,Home,83,Home,90,Away,60,Home,67,Home,72,Away,76,Away,80,Home,86,Away,65,Home,68,Away,77,Bye,Bye,Away,77,Home,77,Home,70,Away,86
23,Raiders,Home,88,Away,86,Home,86,Away,76,Home,82,Away,87,Home,72,Bye,Bye,Away,79,Home,80,Home,63,Away,67,Home,93,Away,80,Away,86,Home,87,Away,77,Home,76
24,Rams,Home,82,Away,77,Home,90,Home,73,Away,70,Away,79,Home,74,Away,60,Home,68,Away,83,Bye,Bye,Away,79,Home,70,Away,73,Home,70,Away,84,Away,88,Home,83
25,Ravens,Away,69,Home,80,Away,74,Away,87,Home,77,Home,76,Home,63,Bye,Bye,Home,84,Away,86,Away,82,Home,86,Away,86,Away,86,Home,79,Away,63,Home,90,Home,86
26,Saints,Home,79,Away,80,Away,82,Home,79,Away,93,Bye,Bye,Away,70,Home,90,Home,65,Away,68,Away,72,Home,77,Home,67,Away,72,Away,90,Home,86,Home,80,Away,65
27,Seahawks,Away,77,Home,68,Away,84,Away,83,Home,90,Away,86,Home,83,Home,70,Bye,Bye,Away,79,Home,73,Away,93,Home,83,Away,60,Away,90,Home,82,Home,74,Away,73
28,Steelers,Away,77,Home,69,Home,63,Away,79,Home,87,Home,70,Bye,Bye,Away,86,Home,82,Home,74,Away,76,Away,63,Home,88,Away,84,Home,68,Away,80,Home,86,Away,88
29,Texans,Home,70,Away,86,Home,80,Away,77,Home,82,Away,77,Away,73,Home,90,Away,86,Bye,Bye,Away,68,Home,72,Home,77,Home,70,Away,70,Home,76,Away,83,Home,68
30,Titans,Home,73,Away,70,Home,77,Away,72,Away,70,Home,77,Home,80,Away,77,Away,90,Home,83,Home,60,Away,82,Bye,Bye,Home,70,Away,86,Home,83,Home,86,Away,60
31,Vikings,Away,63,Away,73,Home,70,Home,86,Home,74,Away,80,Bye,Bye,Home,67,Away,88,Away,76,Home,79,Away,83,Away,74,Home,86,Away,82,Home,90,Away,79,Home,82
