,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent
0,Kansas City Chiefs,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
1,New England Patriots,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
2,Los Angeles Chargers,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
3,Indianapolis Colts,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
4,New Orleans Saints,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
5,Seattle Seahawks,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
6,Green Bay Packers,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
7,Atlanta Falcons,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
8,Pittsburgh Steelers,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
9,Carolina Panthers,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
10,Cleveland Browns,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
11,Los Angeles Rams,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
12,Philadelphia Eagles,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
13,Houston Texans,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
14,Dallas Cowboys,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
15,Minnesota Vikings,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
16,Cincinnati Bengals,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
17,Oakland Raiders,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
18,Detroit Lions,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
19,Tennessee Titans,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
20,San Francisco 49ers,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
21,Jacksonville Jaguars,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
22,Washington Redskins,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
23,Tampa Bay Buccaneers,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
24,Baltimore Ravens,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
25,Chicago Bears,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
26,Miami Dolphins,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
27,Buffalo Bills,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
28,Denver Broncos,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
29,New York Jets,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
30,Arizona Cardinals,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
31,New York Giants,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye
