,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent,Week_18_Home_Away,Week_18_Opponent
0,49ers,Away,89,Away,72,Home,73,Home,67,Home,97,Away,99,Away,79,Home,89,Bye,Bye,Away,87,Home,84,Away,74,Away,95,Home,74,Away,67,Home,95,Away,82,Home,72
1,Bears,Home,84,Away,84,Away,92,Home,69,Away,82,Home,79,Home,72,Away,74,Away,87,Home,84,Away,81,Away,79,Bye,Bye,Home,81,Away,99,Home,67,Home,81,Away,84
2,Bengals,Away,99,Home,95,Home,72,Away,80,Away,67,Home,74,Bye,Bye,Away,98,Home,91,Home,76,Away,95,Home,89,Away,87,Home,77,Home,79,Away,89,Away,92,Home,99
3,Bills,Away,95,Home,72,Away,82,Home,88,Home,87,Home,73,Away,90,Home,84,Away,89,Home,69,Home,95,Away,95,Bye,Bye,Away,92,Home,97,Away,74,Home,90,Away,88
4,Broncos,Home,72,Home,82,Away,88,Away,60,Home,95,Away,92,Home,84,Home,92,Bye,Bye,Away,91,Home,79,Home,99,Away,76,Away,74,Away,81,Home,90,Home,74,Away,72
5,Browns,Home,89,Away,89,Home,80,Home,95,Bye,Bye,Home,98,Away,77,Away,74,Home,67,Away,95,Home,89,Away,69,Away,72,Home,87,Home,60,Away,76,Home,95,Away,89
6,Buccaneers,Away,79,Home,60,Home,95,Away,87,Bye,Bye,Home,81,Home,81,Away,91,Away,76,Home,80,Away,98,Away,77,Home,84,Away,81,Away,84,Home,87,Home,87,Away,84
7,Cardinals,Away,82,Home,73,Home,97,Away,98,Home,89,Away,72,Away,74,Home,95,Away,99,Home,81,Away,76,Home,72,Away,89,Bye,Bye,Home,98,Away,60,Away,95,Home,74
8,Chargers,Home,88,Away,80,Away,79,Home,72,Bye,Bye,Home,97,Away,92,Home,60,Away,95,Home,81,Away,84,Home,95,Away,90,Home,69,Away,72,Home,91,Away,69,Home,92
9,Chiefs,Home,81,Away,87,Home,60,Away,95,Away,79,Home,69,Home,74,Away,69,Home,88,Bye,Bye,Home,95,Away,72,Away,84,Home,91,Away,90,Home,72,Home,89,Away,74
10,Colts,Home,87,Away,76,Away,95,Home,72,Home,80,Away,87,Home,99,Home,87,Away,84,Away,90,Bye,Bye,Home,84,Away,80,Away,89,Home,89,Away,81,Home,72,Home,76
11,Commanders,Home,67,Away,69,Home,91,Away,95,Home,60,Away,81,Away,73,Home,95,Away,90,Away,74,Home,73,Away,97,Home,88,Bye,Bye,Away,72,Away,95,Home,98,Home,97
12,Cowboys,Away,73,Home,95,Away,67,Home,90,Away,98,Away,74,Bye,Bye,Home,72,Away,95,Home,73,Away,84,Home,82,Home,74,Home,95,Away,91,Away,88,Home,81,Away,82
13,Dolphins,Away,74,Away,90,Home,69,Away,91,Home,73,Home,84,Away,95,Home,90,Away,92,Bye,Bye,Home,72,Away,95,Away,82,Home,80,Home,95,Home,97,Away,95,Home,91
14,Eagles,Away,90,Home,79,Away,84,Home,82,Away,72,Away,95,Home,88,Away,82,Home,97,Bye,Bye,Away,92,Home,91,Home,98,Away,97,Away,74,Home,73,Home,67,Away,73
15,Falcons,Home,84,Home,84,Away,81,Away,87,Home,76,Home,82,Away,84,Away,80,Home,79,Away,67,Bye,Bye,Home,87,Away,95,Home,84,Away,84,Home,77,Away,60,Away,87
16,Giants,Home,97,Away,67,Away,98,Home,74,Away,88,Away,91,Home,82,Home,95,Away,72,Away,97,Away,82,Home,90,Bye,Bye,Home,84,Away,87,Away,95,Home,72,Home,95
17,Jaguars,Away,77,Home,92,Home,76,Home,81,Away,91,Home,77,Away,87,Away,89,Bye,Bye,Home,98,Home,80,Away,76,Home,89,Away,99,Home,95,Away,84,Home,84,Away,80
18,Jets,Home,91,Away,97,Home,90,Home,92,Away,69,Home,95,Bye,Bye,Away,73,Home,74,Away,72,Away,91,Home,88,Home,81,Home,76,Away,88,Home,82,Away,99,Away,90
19,Lions,Away,92,Home,74,Home,81,Away,84,Home,84,Away,84,Away,95,Home,72,Bye,Bye,Away,74,Home,60,Home,84,Away,87,Away,60,Home,69,Away,79,Away,97,Home,79
20,Packers,Away,60,Away,81,Home,87,Home,81,Away,72,Bye,Bye,Away,69,Home,79,Home,72,Away,89,Home,74,Away,81,Home,92,Away,73,Home,84,Away,84,Away,79,Home,60
21,Panthers,Away,81,Home,87,Away,74,Home,79,Away,81,Away,88,Bye,Bye,Home,76,Home,77,Away,60,Home,97,Away,80,Away,84,Away,87,Home,81,Home,84,Away,87,Home,84
22,Patriots,Home,95,Home,88,Away,95,Away,97,Home,87,Away,72,Home,91,Away,88,Home,82,Home,77,Bye,Bye,Away,73,Home,74,Away,89,Home,92,Away,69,Away,91,Home,95
23,Raiders,Away,69,Away,91,Home,89,Away,74,Home,84,Home,90,Away,60,Away,81,Home,73,Home,95,Away,88,Home,92,Bye,Bye,Home,79,Home,74,Away,92,Away,77,Home,69
